CITYID,ATTRACTIONNAME,NBHOTEL_NAME,nbhotel_reviewnum,nbhotel_mile
0001,"African Bead Museum","Hotel St. Regis","299 reviews ","1.96 miles away "
0001,"Ambassador Bridge","Trumbull and Porter Hotel Detroit","198 reviews ","1.23 miles away "
0001,"Anna Scripps Whitcomb Conservatory","Roberts Riverwalk Hotel","394 reviews ","1.44 miles away "
0001,"Beacon Park","MGM Grand Detroit","1,207 reviews ",".23 miles away "
0001,"Belle Isle Aquarium","Baymont Inn and Suites Detroit Near the Riverwalk","115 reviews ","1.49 miles away "
0001,"Belle Isle Park","Roberts Riverwalk Hotel","394 reviews ","1.58 miles away "
0001,"Better Made Snack Foods","Detroit Knights Inn","1 review ","2.56 miles away "
0001,"Bonstelle Theatre","Viking Motel","28 reviews ",".64 miles away "
0001,"Boston Edison Historic District","Hotel St. Regis","299 reviews ","1.37 miles away "
0001,Bricktown,"The Atheneum","556 reviews ",".10 miles away "
0001,"Cadillac Square",null,null,null
0001,"Campus Martius Park","The Westin Book Cadillac Detroit","1,379 reviews ",".18 miles away "
0001,"Central United Methodist Church","Aloft Detroit at The David Whitney","488 reviews ",".11 miles away "
0001,"Century Club","Hilton Garden Inn Detroit Downtown","1,039 reviews ",".13 miles away "
0001,"Charles H. Wright Museum of African American History","The Inn on Ferry Street","604 reviews ",".27 miles away "
0001,"Chene Park Amphitheatre","Comfort Inn Downtown Detroit","142 reviews ",".33 miles away "
0001,"Cobo Center","Crowne Plaza Detroit Downtown Riverfront","896 reviews ",".07 miles away "
0001,"College for Creative Studies","The Inn on Ferry Street","604 reviews ",".07 miles away "
0001,"Comerica Park","Aloft Detroit at The David Whitney","488 reviews ",".15 miles away "
0001,"Corktown Historic District","MotorCity Casino Hotel","750 reviews ",".34 miles away "
0001,"Definitive Style Exclusive","The Siren Hotel","12 reviews ",".09 miles away "
0001,"Detroit City Distillery","Greektown Casino Hotel","1,133 reviews ",".74 miles away "
0001,"Detroit Cultural Center Historic District","The Westin Book Cadillac Detroit","1,379 reviews ",".17 miles away "
0001,"Detroit Downtown","Crowne Plaza Detroit Downtown Riverfront","896 reviews ",".17 miles away "
0001,"Detroit Historical Museum","The Inn on Ferry Street","604 reviews ",".14 miles away "
0001,"Detroit Industrial Gallery","Baymont Inn and Suites Detroit Near the Riverwalk","115 reviews ","1.26 miles away "
0001,"Detroit Institute of Arts","The Inn on Ferry Street","604 reviews ",".15 miles away "
0001,"Detroit Opera House","The Siren Hotel","12 reviews ",".05 miles away "
0001,"Detroit People Mover","The Siren Hotel","12 reviews ",".13 miles away "
0001,"Detroit Public Library","The Inn on Ferry Street","604 reviews ",".16 miles away "
0001,"Detroit Repertory Theatre","Hotel St. Regis","299 reviews ","2.50 miles away "
0001,"Detroit RiverFront","Courtyard by Marriott Detroit Downtown","545 reviews ",".19 miles away "
0001,"Detroit Symphony Orchestra","Viking Motel","28 reviews ",".72 miles away "
0001,"Detroit-Windsor Tunnel","Detroit Marriott at the Renaissance Center","1,716 reviews ",".08 miles away "
0001,"DNR Outdoor Adventure Center","Comfort Inn Downtown Detroit","142 reviews ",".22 miles away "
0001,"Dossin Great Lakes Museum","Roberts Riverwalk Hotel","394 reviews ","1.51 miles away "
0001,"Earthworks Urban Farms","Baymont Inn and Suites Detroit Near the Riverwalk","115 reviews ",".68 miles away "
0001,"Eastern Market","Greektown Casino Hotel","1,133 reviews ",".90 miles away "
0001,"Elmwood Cemetary","Comfort Inn Downtown Detroit","142 reviews ",".47 miles away "
0001,"Fisher Building","Hotel St. Regis","299 reviews ",".10 miles away "
0001,"Fisher Mansion","Detroit Knights Inn","1 review ","1.63 miles away "
0001,"Fisher Theatre","Hotel St. Regis","299 reviews ",".13 miles away "
0001,"Ford Field","Hilton Garden Inn Detroit Downtown","1,039 reviews ",".21 miles away "
0001,"Fox Theatre","Aloft Detroit at The David Whitney","488 reviews ",".21 miles away "
0001,"Gabriel Richard Park","Baymont Inn and Suites Detroit Near the Riverwalk","115 reviews ",".94 miles away "
0001,"Gem & Century Theatres","Hilton Garden Inn Detroit Downtown","1,039 reviews ",".13 miles away "
0001,"GM Renaissance Center","Courtyard by Marriott Detroit Downtown","545 reviews ",".10 miles away "
0001,"GM World","Courtyard by Marriott Detroit Downtown","545 reviews ",".06 miles away "
0001,"Gospel Music Hall of Fame & Museum","Cranbrook Inn","2 reviews ","2.24 miles away "
0001,"Grand Circus Park","The Inn on Ferry Street","604 reviews ",".23 miles away "
0001,"Grand River Creative Corridor","Aloft Detroit at The David Whitney","488 reviews ",".15 miles away "
0001,Greektown,"Greektown Casino Hotel","1,133 reviews ",".06 miles away "
0001,"Greektown Casino","The Atheneum","556 reviews ",".08 miles away "
0001,"Hart Plaza","Courtyard by Marriott Detroit Downtown","545 reviews ",".14 miles away "
0001,"Historic Fort Wayne","Trumbull and Porter Hotel Detroit","198 reviews ","2.58 miles away "
0001,"Historic Trinity Lutheran Church","Greektown Casino Hotel","1,133 reviews ",".49 miles away "
0001,"Inner State Gallery","Greektown Casino Hotel","1,133 reviews ",".56 miles away "
0001,"International Institute of Metropolitan Detroit","The Inn on Ferry Street","604 reviews ",".05 miles away "
