USERID,RATINGDATE,attractionname,viamobile,ratingscore,reviewtitle
" Ben L ","Reviewed September 23, 2016 ","The Ford Piquette Avenue Plant",No,5,"Great visit"
"_jo7eisen ","Reviewed January 28, 2018 ","DNR Outdoor Adventure Center",No,5,"Not To Be Missed Adventure"
"00vette48306 ","Reviewed December 14, 2015 ","Ford Field",No,4,"The venue is better than the team! "
"00vette48306 ","Reviewed February 22, 2018 ","Little Caesars Arena",No,5,"Great addition to Detroit sports scene"
"00vette48306 ","Reviewed September 15, 2017 ","Belle Isle Park",No,5,"Better every year"
"00vette48306 ","Reviewed September 19, 2015 ","Comerica Park",No,5,"Always fun!"
"0144 ","Reviewed January 7, 2017 ","Campus Martius Park",No,5,"Awesome New Year&rsquos Eve celebration for families and singles"
"0144 ","Reviewed March 10, 2013 ","Detroit Historical Museum",No,5,"Fun and interesting exhibits"
"03221108michelle ","Reviewed July 2, 2016 ","The Ford Piquette Avenue Plant",No,4,"Museum visit"
"1_Goddess_of_Travel ","Reviewed September 17, 2017 ","Cobo Center",No,5,"Great space - low stress"
"101Retired ","Reviewed September 22, 2017 ","Comerica Park",No,5,"Pleasant experience at Comerica"
"104gailh ","Reviewed June 23, 2015 ","Detroit Institute of Arts",No,5,Stunning!
"1066ClintE ","Reviewed June 22, 2015 ","Belle Isle Park",No,4,"beautiful jewel of Detroit"
"1066ClintE ","Reviewed September 12, 2015 ","Detroit Institute of Arts",No,5,"Perfect way to spend a Sunday Afternoon"
"111familyman111 ","Reviewed April 12, 2016 ","Joe Louis Arena",No,5,"GALAD TO VIST BEFORE THIS LEGEND CLOSES"
"11429080Gerry ","Reviewed September 3, 2013 ","Detroit Institute of Arts",No,5,"Great art but may lose in city bankruptcy"
"1163Teri ","Reviewed October 26, 2015 ","Detroit Institute of Arts",No,4,"Nice Place"
"1212rose1212 ","Reviewed August 20, 2015 ","Comerica Park",No,5,"Go tigers!"
"12318 ","Reviewed December 30, 2013 ","Fisher Theatre",No,5,"A salute to Broadway"
"12318 ","Reviewed September 28, 2013 ","Detroit Institute of Arts",No,5,"honoring a treasure"
"1234_10 ","Reviewed November 27, 2013 ","Detroit Institute of Arts",No,5,"World Class Museum"
"123kpossible ","Reviewed September 7, 2016 ","Comerica Park",No,5,"Tigers game"
"124Phyllis_M_12124 ","Reviewed February 18, 2015 ","Comerica Park",No,5,"Fun for the family"
"125craigj ","Reviewed August 16, 2015 ","Ford Field",No,4,"Big difference between home and visitors side"
"12688 ","Reviewed May 19, 2015 ","Comerica Park",No,3,"Good experience at Comerica"
"127rockyr ","Reviewed September 7, 2016 ","DNR Outdoor Adventure Center",No,5,"Family Day"
"12MCrystal ","Reviewed March 17, 2016 ","Detroit People Mover",No,4,Cool
"12Nick ","Reviewed April 23, 2012 ","Greektown Casino",No,2,"Better odds elsewhere, MUCH BETTER."
"12Nick ","Reviewed June 8, 2012 ","Comerica Park",No,5,"Shared the Concourse with Several Thousand Avoiding the Rain - and Liked It"
"132gardener ","Reviewed May 19, 2017 ","Comerica Park",No,5,"Great Place to watch a ballgame"
"13TigersLady ","Reviewed March 6, 2017 ","Detroit Institute of Arts",No,5,"Gorgeous, elegant and so full of treasures of all sorts!"
