USERID,address
" Ben L ","Haarlem, The Netherlands"
"_jo7eisen ","Charleston, South Carolina"
"00vette48306 ","Rochester, Michigan"
"0144 ",Michigan
"03221108michelle ",null
"1_Goddess_of_Travel ","Livonia, Michigan"
"101Retired ",null
"104gailh ","Washington DC, District of Columbia"
"1066ClintE ","United States"
"111familyman111 ","Denver, Colorado"
"11429080Gerry ","Phoenix, Arizona"
"1163Teri ","Syracuse, New York"
"1212rose1212 ","Philadelphia, Pennsylvania"
"12318 ",Detroit
"1234_10 ","Ann Arbor, Michigan"
"123kpossible ",null
"124Phyllis_M_12124 ","Detroit, Michigan"
"125craigj ","Ottawa "
"12688 ","San Francisco, California"
"127rockyr ",null
"12MCrystal ","Detroit, Michigan"
"12Nick ","Brighton, Michigan"
"132gardener ","Northville, Michigan"
"13TigersLady ","Ray twp, michigan"
"1402truman ","Dunedin, Florida"
"155019Jan ","Toronto, Canada"
"155019Jane ","Toronto, Canada"
"174DET ","Southfield, Michigan"
"18John1971 ","Warren, Michigan"
"18Tiger1 ","Royal Oak, Michigan"
"1920v ","Morris, NJ"
"193trishb ",Michigan
"1988donika ",Michigan
"1bee2busy ","Manhattan, New York, United States"
"1Bustrav ","Saint Cloud, Florida"
"1catsmeow ","Windsor, Ontario"
"1DW1 ","Clinton Township, Michigan"
"1Edith1 ",Merida
"1EpicureanAdventurer ","Dyer, Indiana"
"1John51415 ","Mobile, Alabama"
"1Kare1 ",Colorado
"1lilcook ","Grosse Pointe Park, MI"
"1MissKay ","New Jersey"
"1n2u ","United States"
"1QueenBee2 ","Walnut Creek, California"
"1Rahhalatun ","Troy, Michigan"
"1waytogo ","Orlando, Florida"
"2011heather16 ","Toronto, Canada"
"206JanF ","North Street, MI"
"207karld ",null
"20briang ",Ontario
"214tracic ","Northampton, United Kingdom"
"216TimG ","Cleveland, Ohio"
"218Traveler ","Detroit, Michigan"
"21stcpc ",null
"225missy ","Saint Clair, Michigan"
"23Neary ","Cheticamp, Canada"
"23yrs ",null
"2424Saman ",null
"251ceh ","Yokohama, Japan"
"257connieo ",null
"260lancec ","Saint Charles, Missouri"
"275THOMASB ","Rock Hill"
"2b2yo2256 ","Royal Oak, Michigan"
"2Moore ","Detroit, Michigan"
"2RedSquirrels ","Windsor, Canada"
"2seniors2travel ","Fenton, Michigan"
"2Vegas ","Las Vegas, Nevada"
"2whalea ","Rome, Italy"
"2wheeler1800 ","Belleville, Michigan"
"300hollyh ","Powell, Ohio, United States"
"307x ","Toronto, Canada"
"310tammit ",michigan
"311Jani1951 ","Davison, Michigan"
"311TORYY ","Siem Reap, Cambodia"
"311velmas ",null
"313Eastsider ","Detroit, Michigan"
"313friend ","Clinton Township, Michigan"
"314dorothyb ","Hazel Park"
"314thomast ",null
"318ws ","Alexandria, Virginia"
"321retiree ","Garden City, Michigan"
"322elixx ",null
"326Traveller ","Brookline, Massachusetts"
"327stanleyk ","Detroit, Michigan"
"330debbieg ",Atlanta
"334mel2013 ","San Diego, California"
"33kk ","Washington DC, District of Columbia"
"360as2016 ","Austin, Texas"
"365Kate ","Wyandotte, Michigan"
