ID,Age,Sex,Job,Housing,Saving_accounts,Checking_accounts,Credit_amount,Duration,Purpose,Risk
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,0
701,46,male,2,free,little,little,6331,48,car,0
702,47,female,2,free,moderate,rich,1377,24,radio/TV,1
703,41,male,2,own,moderate,moderate,2503,30,business,1
704,32,female,2,own,little,moderate,2528,27,business,1
705,35,female,2,free,quite rich,NA,5324,15,car,1
706,24,male,2,own,moderate,moderate,6560,48,car,0
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,0
708,25,female,2,own,little,moderate,1206,9,radio/TV,1
709,37,male,1,own,little,moderate,2118,9,radio/TV,1
710,32,male,3,own,quite rich,NA,629,18,radio/TV,1
711,35,female,2,free,little,little,1198,6,education,0
712,46,male,3,own,NA,NA,2476,21,car,1
713,25,male,1,own,little,little,1138,9,radio/TV,1
714,27,male,3,own,little,moderate,14027,60,car,0
715,63,male,2,own,NA,NA,7596,30,car,1
716,40,male,2,own,NA,NA,3077,30,radio/TV,1
717,32,male,3,free,little,NA,1505,18,radio/TV,1
718,31,male,2,own,NA,rich,3148,24,radio/TV,1
719,31,male,2,own,moderate,moderate,6148,20,car,1
720,34,male,3,own,little,rich,1337,9,radio/TV,0
721,24,female,2,rent,rich,moderate,433,6,education,0
722,24,female,1,own,little,little,1228,12,car,0
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,1
724,21,female,2,rent,little,NA,2570,27,car,0
725,41,female,1,own,rich,NA,250,6,car,1
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,1
727,25,female,2,rent,little,little,1882,18,radio/TV,0
728,59,female,2,rent,little,moderate,6416,48,business,0
729,36,male,2,own,rich,rich,1275,24,business,1
730,33,male,2,own,little,moderate,6403,24,radio/TV,1
731,21,male,1,rent,little,little,1987,24,radio/TV,0
732,44,female,1,own,little,moderate,760,8,radio/TV,1
733,28,female,2,rent,rich,NA,2603,24,car,1
734,37,female,2,own,little,NA,3380,4,car,1
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,1
736,23,female,3,rent,little,moderate,11560,24,car,0
737,35,male,1,own,moderate,little,4380,18,car,1
738,45,male,3,own,little,NA,6761,6,car,1
739,26,female,1,rent,moderate,moderate,4280,30,business,0
740,32,male,2,own,moderate,little,2325,24,car,1
741,23,male,1,own,little,moderate,1048,10,radio/TV,1
742,41,male,2,own,NA,NA,3160,21,radio/TV,1
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,1
744,30,male,3,own,NA,little,14179,39,furniture/equipment,1
745,28,male,1,own,little,little,1797,13,business,1
746,23,female,2,rent,little,little,2511,15,car,1
747,37,female,1,own,little,little,1274,12,car,0
748,26,male,2,own,NA,NA,5248,21,car,1
749,33,male,2,own,little,NA,3029,15,car,1
750,49,female,2,own,little,little,428,6,furniture/equipment,1
